sample_id,dataset,split,context,positive_role_check,negative_role_check,neutral_role_check,review_status,review_note
causal_reasoning:dev:c0:c0_s0:c0_d0:c0_s0_n0_p3,causal_reasoning,dev,"Cause: 3d imaging is offered to prospective parents when getting an ultrasound. Effect: When the baby is born, the parents feel like they already know him or her.",the image of baby is shown,parents still reject this new technology,The image is a powerful tool.,role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:dev:c0:c0_s0:c0_d1:c0_s0_n0_p3,causal_reasoning,dev,"Cause: 3d imaging is offered to prospective parents when getting an ultrasound. Effect: When the baby is born, the parents feel like they already know him or her.",the image of baby is shown,The parents are told 3D imaging uses radioactive technology and that it's okay to opt out.,The image is a powerful tool.,role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:dev:c0:c0_s0:c0_d2:c0_s0_n0_p3,causal_reasoning,dev,"Cause: 3d imaging is offered to prospective parents when getting an ultrasound. Effect: When the baby is born, the parents feel like they already know him or her.",the image of baby is shown,Parents don’t use the ultrasound because they don’t want to know the sex of the baby.,The image is a powerful tool.,role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:test:c0:c0_s0:c0_d0:c0_s0_n0_p3,causal_reasoning,test,Cause: A Republican politician votes for an unpopular piece of legislation. Effect: The politician is not reelected.,If a politician keeps voting for unpopular things they don't get re-elected.,The politician apologizes and his supporters keep going strong.,"A politician must do what is right, not just reconsider popular opinion's sway.",role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:test:c0:c0_s0:c0_d1:c0_s0_n0_p3,causal_reasoning,test,Cause: A Republican politician votes for an unpopular piece of legislation. Effect: The politician is not reelected.,If a politician keeps voting for unpopular things they don't get re-elected.,No one remembers that the vote happened.,"A politician must do what is right, not just reconsider popular opinion's sway.",role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:test:c0:c0_s0:c0_d2:c0_s0_n0_p3,causal_reasoning,test,Cause: A Republican politician votes for an unpopular piece of legislation. Effect: The politician is not reelected.,If a politician keeps voting for unpopular things they don't get re-elected.,The public realizes the legislation is actually beneficial to them.,"A politician must do what is right, not just reconsider popular opinion's sway.",role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:train:c0:c0_s0:c0_d0:c0_d0_A_c240_d1196,causal_reasoning,train,Cause: 3D printing adds to people's convenience. Effect: 50% of homes in America have a 3D printer.,People think 3D printers are worth having.,A lot of influencers post that 3D printers are just a waste of space and add clutter.,Red meat can be unhealthy if eaten in large quantities and too often but is healthy in moderation.,role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:train:c0:c0_s0:c0_d0:c0_s0_B_c6390_s29377,causal_reasoning,train,Cause: 3D printing adds to people's convenience. Effect: 50% of homes in America have a 3D printer.,People think 3D printers are worth having.,A lot of influencers post that 3D printers are just a waste of space and add clutter.,The jacket looks like a crop top on the man.,role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
causal_reasoning:train:c1:c1_s1:c1_d1:c1_d1_B_c2082_d9581,causal_reasoning,train,Cause: A  company starts buying off its competitions. Effect: The company has acquired all its competitors and is a major monopoly.,The manager of the company is very experienced and hardworking,The manager couldn't achieve any success because he's lackadaisical and unskilled,The man and woman are just about to have a garage sale.,role_consistent,Positive supports the stated cause-effect link; negative blocks or reverses that link; neutral is generic or off-axis rather than a direct defeater.
debate:dev:c0:c0_s0:c0_d0:c0_s0_n0_p3,debate,dev,Claim: There must be a child curfews.,Curfews also have an important role in the protection of vulnerable children,Curfews are counter-productive.,Curfews have the protection of communities as their primary goal and benefit.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:dev:c0:c0_s0:c0_d1:c0_s0_n0_p3,debate,dev,Claim: There must be a child curfews.,Curfews also have an important role in the protection of vulnerable children,Curfews might cause just as much harm as good.,Curfews have the protection of communities as their primary goal and benefit.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:dev:c0:c0_s0:c0_d2:c0_s0_n0_p3,debate,dev,Claim: There must be a child curfews.,Curfews also have an important role in the protection of vulnerable children,Positive engagement would be more effective than curfews.,Curfews have the protection of communities as their primary goal and benefit.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:test:c0:c0_s0:c0_d0:c0_s0_n0_p3,debate,test,Claim: It should be allowed to have military recruitment in schools.,"The military enters schools not only for recruitment, but also to promote awareness.",The military should not target children for service as they are too young.,Promote STEM programs to schools to enhance student interest before entering the recruitment phase.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:test:c0:c0_s0:c0_d1:c0_s0_n0_p3,debate,test,Claim: It should be allowed to have military recruitment in schools.,"The military enters schools not only for recruitment, but also to promote awareness.","Military recruiters decieve children about the risks of a military career, tempting them into a career they would not choose with honest information.",Promote STEM programs to schools to enhance student interest before entering the recruitment phase.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:test:c0:c0_s0:c0_d2:c0_s0_n0_p3,debate,test,Claim: It should be allowed to have military recruitment in schools.,"The military enters schools not only for recruitment, but also to promote awareness.","Military recruiters downplay the risks of a military career, tempting schoolchildren into a career they would not have chosen with honest information.",Promote STEM programs to schools to enhance student interest before entering the recruitment phase.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:train:c0:c0_s0:c0_d0:c0_d0_B_c3289_s15270,debate,train,Claim: The use of child performers should be banned,Being a performer can make the child physically vulnerable,The government has no right to prevent children from doing what they enjoy and are good at,The man is being cooked for by his wife after working hard in construction.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:train:c0:c0_s0:c0_d0:c0_s0_B_c9157_s41943,debate,train,Claim: The use of child performers should be banned,Being a performer can make the child physically vulnerable,The government has no right to prevent children from doing what they enjoy and are good at,The dog is very happy to see the woman.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
debate:train:c0:c0_s0:c0_d1:c0_d1_B_c7823_s35850,debate,train,Claim: The use of child performers should be banned,Being a performer can make the child physically vulnerable,Child performers are the only people who fit some of these roles,The three men walk to the bar next door.,role_consistent,Positive gives a pro-claim reason; negative gives an anti-claim or counter-policy reason; neutral is topical or unrelated without directly opposing the claim.
defeasible_nli:dev:c0:c0_s0:c0_d0:c0_s0_n0_p3,defeasible_nli,dev,"Premise: 3 cyclists are racing ahead of a red BMW, with the leader wearing solid white helmet and black cycling pants. Hypothesis: Cyclists are in a race on the part of the course that is on the highway.",The sign next to the course says interstate.,They are on road made of dirt.,The sign guided the course of our journey.,role_consistent,Positive makes the hypothesis more plausible; negative weakens it; neutral is unrelated or only weakly related to the premise-hypothesis relation.
defeasible_nli:dev:c0:c0_s0:c0_d1:c0_s0_n0_p3,defeasible_nli,dev,"Premise: 3 cyclists are racing ahead of a red BMW, with the leader wearing solid white helmet and black cycling pants. Hypothesis: Cyclists are in a race on the part of the course that is on the highway.",The sign next to the course says interstate.,The cyclists go through a blinking traffic light.,The sign guided the course of our journey.,role_consistent,Positive makes the hypothesis more plausible; negative weakens it; neutral is unrelated or only weakly related to the premise-hypothesis relation.
