sample_id,dataset,split,context,positive,negative,neutral,pos_neutral_distance,pos_neg_distance,neg_neutral_distance,error_type,possible_innovation_help
causal_reasoning:dev:c6:c6_s1:c6_d1:c6_s1_n1_p3,causal_reasoning,dev,Cause: A business finds that its revenue was lower than anticipated for the year. Effect: Hundreds of workers are laid off.,A company that is not doing well financially will be forced to lay off workers.,Leadership of the company vows that there will not be any layoffs.,A company should strive to innovate to reduce the need to lay off employees.,0.230351,0.203372,0.322644,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c2:c2_s1:c2_d1:c2_d1_n5_p3,causal_reasoning,dev,Cause: A CEO charges one of their managers to oversee business development. Effect: The manager replaces the CEO.,The manager does an excellent job and makes the company millions of dollars.,The manager fails and the development doesn’t happen.,Failure often happens when preparation is lacking.,0.257219,0.148165,0.224909,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c2:c2_s0:c2_d1:c2_d1_n5_p3,causal_reasoning,dev,Cause: A CEO charges one of their managers to oversee business development. Effect: The manager replaces the CEO.,The manager is very hardworking and experienced,The manager fails and the development doesn’t happen.,Failure often happens when preparation is lacking.,0.183906,0.118083,0.224909,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c5:c5_s2:c5_d3:c5_s2_n2_p3,causal_reasoning,dev,Cause: A business decides to offer new services that cater to younger people. Effect: Months later the business is doing better than ever.,The new services attract a lot of younger people.,Young people got bored of the new services.,Social media platforms attract younger people with engaging content.,0.132773,0.075527,0.180187,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c9:c9_s1:c9_d1:c9_s1_n1_p3,causal_reasoning,dev,Cause: A coffee shop hires way too many baristas. Effect: The coffee shop has profits that are too low to stay open.,It keeps all the baristas on the employment roster.,It dismisses all the extra baristas.,"It keeps evolving, challenging our understanding of reality.",0.180108,0.081063,0.161856,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c14:c14_s1:c14_d1:c14_s1_n1_p3,causal_reasoning,dev,Cause: A conservation group starts to repair the habitat location of an endangered species. Effect: The endangered species is no longer endangered.,It is possible to repair the habitat of the endangered species.,"Despite the group's efforts, the habitat of the endangered species has been completely destroyed.",Repairing habitats is crucial to protect endangered species from extinction.,0.108504,0.085591,0.182943,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c5:c5_s2:c5_d2:c5_s2_n2_p3,causal_reasoning,dev,Cause: A business decides to offer new services that cater to younger people. Effect: Months later the business is doing better than ever.,The new services attract a lot of younger people.,Younger people complain about the quality of the services received.,Social media platforms attract younger people with engaging content.,0.132773,0.092735,0.186843,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
causal_reasoning:dev:c10:c10_s2:c10_d2:c10_d2_n6_p3,causal_reasoning,dev,Cause: A company a company institute's new productivity protocols. Effect: All of their employees increase their productivity by 5%.,The new productivity protocols are humane.,The new productivity protocols are not humane and intuitive so employees are reluctant but forced to abide.,The new productivity protocols are essential for maximizing efficiency and encouraging innovation in today's competitive environment.,0.125252,0.102607,0.195383,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c3:c3_s1:c3_d1:c3_s1_n1_p3,debate,dev,Claim: It is crucial to explore the universe.,It is a moral imperative to constantly seek to expand the boundaries of knowledge,The cost of space exploration exceeds the positive benefits,Expanding knowledge to everyone is a moral imperative for fostering a more informed society.,0.254566,0.356321,0.527134,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c4:c4_s0:c4_d20:c4_s0_n0_p3,debate,dev,Claim: Gay couples should be allowed to marry.,"Marriage provides both physical and psychological health benefits, and banning gay marriage increases rates of psychological disorders.",Those against gay marriage are called names if gay marriage is legalized.,Banning plastic bags increases environmental sustainability and provides a significant decrease in pollution rates worldwide.,0.455534,0.440741,0.605945,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
